date,Prayer potion(3)_139,Snape grass_231,Ranarr weed_257,Ranarr seed_5295,Vial_229,Vial of water_227,Super restore(3)_3026,Avantoe_261,Kwuarm_263,Cadantine_265,Dwarf weed_267,Torstol_269,Marrentill_251,Tarromin_253,Harralander_255,Irit leaf_259,Guam leaf_249
06-19-2017,7252,35,7731,30225,2,4,7705,2445,2749,1674,895,4306,21,143,572,1006,11
06-20-2017,7220,35,7806,31012,2,5,7665,2482,2697,1637,905,4314,21,137,553,1039,11
06-21-2017,7230,35,7830,31050,3,5,7665,2458,2717,1637,905,4314,20,131,562,1090,11
06-22-2017,7356,36,7879,30750,2,5,7642,2458,2717,1637,943,4423,20,131,562,1090,11
06-23-2017,7328,37,7958,30831,3,5,7642,2492,2754,1637,943,4423,21,135,566,1086,12
06-24-2017,7380,37,7856,30443,3,5,7685,2540,2744,1691,966,4424,22,138,544,1063,13
06-25-2017,7397,38,7822,30160,3,5,7685,2540,2744,1691,966,4424,22,138,537,1063,13
06-26-2017,7367,37,7795,29819,3,5,7818,2584,2773,1691,939,4575,22,134,524,1086,13
06-27-2017,7298,38,7827,29741,3,5,7818,2590,2702,1694,939,4600,20,131,541,1110,12
06-28-2017,7290,38,7838,30002,3,5,7821,2590,2702,1694,938,4600,20,131,533,1110,12
06-29-2017,7287,37,7830,30055,3,5,7821,2599,2724,1694,966,4532,19,127,544,1097,12
06-30-2017,7259,37,7816,30197,3,5,7907,2706,2700,1720,966,4532,19,127,548,1079,11
07-01-2017,7259,37,7801,30109,3,5,7907,2706,2700,1720,973,4539,19,128,548,1079,11
07-02-2017,7261,37,7645,29604,3,5,7884,2779,2681,1720,973,4539,19,128,555,1089,11
07-03-2017,7228,37,7583,29478,3,5,7884,2749,2734,1720,985,4445,18,128,546,1102,11
07-04-2017,7219,37,7584,29805,3,5,7931,2759,2722,1724,985,4438,18,127,538,1099,12
07-05-2017,7219,37,7543,29993,3,5,7931,2759,2722,1724,977,4438,18,127,538,1099,12
07-06-2017,7160,37,7563,30372,3,5,7590,2798,2709,1724,992,4518,17,126,536,1068,12
07-07-2017,7160,37,7551,30528,3,5,7590,2798,2709,1724,992,4518,17,126,536,1068,12
07-08-2017,7034,38,7547,30811,3,5,7590,2703,2676,1675,1025,4517,17,119,529,1074,12
07-09-2017,6928,38,7377,30485,3,5,7727,2595,2581,1675,1013,4686,18,119,511,1090,12
07-10-2017,6832,38,7302,30380,3,5,7727,2595,2581,1675,1013,4686,18,119,511,1090,12
07-11-2017,6844,38,7356,30352,3,5,7737,2507,2558,1603,1006,4852,18,119,520,1053,12
07-12-2017,6879,38,7348,31028,3,5,7786,2449,2496,1603,1001,4876,18,117,519,1065,13
07-13-2017,6838,38,7484,32011,3,5,7786,2449,2496,1603,1001,4876,18,117,519,1065,13
07-14-2017,6805,38,7431,31911,3,5,7786,2423,2477,1563,994,5035,18,122,517,1071,13
07-15-2017,6919,39,7315,31775,3,5,7786,2423,2477,1563,994,5035,18,122,517,1071,13
07-16-2017,6992,38,7255,32290,3,5,7857,2530,2530,1563,981,5051,18,128,511,1079,14
07-17-2017,6964,38,7341,32371,3,5,7857,2451,2584,1562,1000,5297,18,133,516,1083,14
07-18-2017,6945,37,7544,33315,3,5,7830,2465,2584,1562,1000,5297,18,133,515,1083,14
07-19-2017,6971,37,7556,34176,3,5,7830,2504,2683,1562,997,5305,18,133,516,1085,14
07-20-2017,7059,37,7684,34417,3,5,7767,2577,2760,1604,1026,5327,18,133,528,1100,15
07-21-2017,7224,39,7662,34371,3,5,7767,2566,2712,1604,1026,5373,17,135,528,1146,15
07-22-2017,7450,39,7799,33874,3,5,8018,2586,2669,1604,1020,5373,16,137,534,1124,15
07-23-2017,7643,39,8012,33540,3,5,8018,2594,2639,1642,1017,5416,15,141,544,1109,15
07-24-2017,7634,38,8116,33969,3,5,7980,2594,2639,1642,1017,5416,15,141,544,1109,15
07-25-2017,7653,39,8175,35275,3,5,7980,2611,2630,1642,1014,5619,15,138,547,1101,15
07-26-2017,7621,39,8180,35595,3,5,8113,2530,2628,1642,1016,5756,15,136,539,1105,15
07-27-2017,7592,38,8237,36030,3,5,8113,2480,2658,1653,1031,5971,16,138,544,1123,14
07-28-2017,7710,38,8247,36634,3,5,8006,2443,2658,1653,1031,5971,16,138,558,1167,14
07-29-2017,7721,37,8229,36282,3,5,8006,2443,2733,1653,1052,6234,17,140,558,1167,14
07-30-2017,7820,37,8312,36089,3,5,8138,2396,2700,1626,1053,6111,18,141,559,1147,14
07-31-2017,7820,37,8391,36411,3,5,8138,2396,2700,1626,1053,6111,18,141,559,1147,14
08-01-2017,7913,38,8422,36277,3,5,8150,2437,2651,1626,1062,6170,19,147,570,1114,13
08-02-2017,8088,38,8602,36409,3,5,8266,2543,2582,1626,1056,6258,19,154,580,1092,13
08-03-2017,8120,37,8762,36452,3,5,8266,2489,2582,1575,1056,6258,19,154,578,1092,13
08-04-2017,8236,37,8801,36251,3,5,8404,2489,2552,1575,1046,6450,19,158,578,1122,14
08-05-2017,8388,38,8853,36821,3,5,8757,2448,2566,1575,1045,6745,19,158,583,1151,14
08-06-2017,8372,39,8834,37194,3,5,8757,2448,2566,1552,1045,6745,19,158,583,1151,14
08-07-2017,8266,39,8830,37954,3,5,8710,2353,2588,1552,1071,7082,20,158,572,1129,15
08-08-2017,8108,38,8758,38466,3,5,8710,2421,2588,1552,1071,7082,20,158,575,1137,15
08-09-2017,8025,37,8593,38719,3,5,8813,2479,2612,1560,1073,7254,20,160,573,1153,15
08-10-2017,7998,36,8597,38695,3,5,8795,2535,2683,1560,1076,7398,19,160,568,1156,15
08-11-2017,8023,34,8543,38176,3,5,8795,2535,2683,1560,1076,7398,19,160,569,1156,15
08-12-2017,7989,34,8401,37248,3,5,8548,2482,2601,1599,1085,7465,19,161,569,1141,15
08-13-2017,7952,35,8456,36940,3,5,8548,2482,2601,1599,1085,7465,19,161,566,1141,15
08-14-2017,7930,36,8476,36466,3,5,8582,2437,2532,1599,1075,7316,19,159,562,1111,15
08-15-2017,8120,37,8442,36466,2,5,8582,2404,2503,1599,1085,7401,18,160,559,1133,15
08-16-2017,8085,37,8629,36497,3,5,8746,2408,2492,1575,1085,7401,18,160,554,1133,14
08-17-2017,8304,37,8820,36535,3,5,8529,2425,2520,1575,1089,7437,19,156,547,1131,13
08-18-2017,8304,37,8908,36760,3,5,8529,2425,2520,1575,1089,7437,19,156,547,1131,13
08-19-2017,8323,37,8926,37004,3,5,8673,2452,2552,1527,1084,7153,19,156,545,1092,13
08-20-2017,8279,36,8870,37295,3,5,8901,2401,2536,1527,1047,7237,19,151,529,1099,13
08-21-2017,8339,37,8849,37359,3,5,8901,2390,2536,1527,1047,7237,19,151,527,1095,13
08-22-2017,8300,37,8799,37247,3,5,8649,2329,2548,1538,1044,7170,19,146,529,1074,13
08-23-2017,8222,38,8779,37136,3,5,8649,2320,2548,1538,1044,7170,19,146,531,1074,14
08-24-2017,8138,38,8722,36866,2,5,8737,2320,2522,1538,1020,7256,20,140,531,1087,14
08-25-2017,8123,39,8637,37183,2,5,8737,2309,2522,1538,1020,7256,20,140,522,1087,14
08-26-2017,8109,39,8459,36968,2,5,8809,2311,2544,1569,1021,7224,20,140,510,1104,15
