date,Prayer potion(3)_139,Snape grass_231,Ranarr weed_257,Ranarr seed_5295,Vial_229,Vial of water_227,Super restore(3)_3026
06-19-2017,7252,35,7731,30225,2,4,7705
06-20-2017,7220,35,7806,31012,2,5,7665
06-21-2017,7230,35,7830,31050,3,5,7665
06-22-2017,7356,36,7879,30750,2,5,7642
06-23-2017,7328,37,7958,30831,3,5,7642
06-24-2017,7380,37,7856,30443,3,5,7685
06-25-2017,7397,38,7822,30160,3,5,7685
06-26-2017,7367,37,7795,29819,3,5,7818
06-27-2017,7298,38,7827,29741,3,5,7818
06-28-2017,7290,38,7838,30002,3,5,7821
06-29-2017,7287,37,7830,30055,3,5,7821
06-30-2017,7259,37,7816,30197,3,5,7907
07-01-2017,7259,37,7801,30109,3,5,7907
07-02-2017,7261,37,7645,29604,3,5,7884
07-03-2017,7228,37,7583,29478,3,5,7884
07-04-2017,7219,37,7584,29805,3,5,7931
07-05-2017,7219,37,7543,29993,3,5,7931
07-06-2017,7160,37,7563,30372,3,5,7590
07-07-2017,7160,37,7551,30528,3,5,7590
07-08-2017,7034,38,7547,30811,3,5,7590
07-09-2017,6928,38,7377,30485,3,5,7727
07-10-2017,6832,38,7302,30380,3,5,7727
07-11-2017,6844,38,7356,30352,3,5,7737
07-12-2017,6879,38,7348,31028,3,5,7786
07-13-2017,6838,38,7484,32011,3,5,7786
07-14-2017,6805,38,7431,31911,3,5,7786
07-15-2017,6919,39,7315,31775,3,5,7786
07-16-2017,6992,38,7255,32290,3,5,7857
07-17-2017,6964,38,7341,32371,3,5,7857
07-18-2017,6945,37,7544,33315,3,5,7830
07-19-2017,6971,37,7556,34176,3,5,7830
07-20-2017,7059,37,7684,34417,3,5,7767
07-21-2017,7224,39,7662,34371,3,5,7767
07-22-2017,7450,39,7799,33874,3,5,8018
07-23-2017,7643,39,8012,33540,3,5,8018
07-24-2017,7634,38,8116,33969,3,5,7980
07-25-2017,7653,39,8175,35275,3,5,7980
